Unnamed: 0,title,year,age_group,imdb,rotten_tomato,streaming,title2
0,Breaking Bad,2008,18+,9.5,96.0,Netflix,breaking bad
1,Inception,2010,13+,8.8,87.0,Netflix,inception
2,Back to the Future,1985,7+,8.5,96.0,Netflix,back to the future part iii
3,The Matrix,1999,18+,8.7,88.0,Netflix,the matrix
4,The Silence of the Lambs,1991,18+,8.6,96.0,Netflix,the silence of the lambs
5,Stranger Things,2016,16+,8.8,93.0,Netflix,stranger things
6,Avengers: Infinity War,2018,13+,8.5,85.0,Netflix,avengers: infinity war
7,"The Good, the Bad and the Ugly",1966,18+,8.8,97.0,Netflix,"the good, the bad and the ugly"
8,Django Unchained,2012,18+,8.4,87.0,Netflix,
9,The Pianist,2002,18+,8.5,95.0,Netflix,the pianist
10,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97.0,Netflix,spider-man: into the spider-verse
11,Raiders of the Lost Ark,1981,7+,8.4,95.0,Netflix,indiana jones and the raiders of the lost ark
12,Avatar: The Last Airbender,2005,7+,9.2,10.0,Netflix,the last airbender
13,Inglourious Basterds,2009,18+,8.3,89.0,Netflix,inglourious basterds
14,Sherlock,2010,16+,9.1,78.0,Netflix,sherlock
15,Dark,2017,16+,8.8,94.0,Netflix,dark
16,Taxi Driver,1976,18+,8.3,96.0,Netflix,taxi driver
17,3 Idiots,2009,13+,8.4,10.0,Netflix,3 idiots
18,Money Heist,2017,18+,8.4,93.0,Netflix,money heist
19,Pan's Labyrinth,2006,18+,8.2,95.0,Netflix,pan's labyrinth
20,Monty Python and the Holy Grail,1975,7+,8.2,97.0,Netflix,monty python and the holy grail
21,Room,2015,18+,8.1,93.0,Netflix,room
22,Indiana Jones and the Last Crusade,1989,13+,8.2,89.0,Netflix,indiana jones and the last crusade
23,The Office,2005,16+,8.9,81.0,Netflix,the office
24,Supernatural,2005,16+,8.4,93.0,Netflix,supernatural
25,Groundhog Day,1993,7+,8.0,96.0,Netflix,groundhog day
26,Better Call Saul,2015,18+,8.7,97.0,Netflix,better call saul
27,Attack on Titan,2013,16+,8.8,94.0,Netflix,attack on titan
28,V for Vendetta,2006,18+,8.2,73.0,Netflix,
29,Black Mirror,2011,18+,8.8,83.0,Netflix,black mirror
30,Her,2013,18+,8.0,95.0,Netflix,her
31,Peaky Blinders,2013,18+,8.8,92.0,Netflix,peaky blinders
32,There Will Be Blood,2007,18+,8.2,91.0,Netflix,there will be blood
33,Dallas Buyers Club,2013,18+,8.0,93.0,Netflix,dallas buyers club
34,Life of Brian,1979,18+,8.1,95.0,Netflix,monty python's life of brian
35,The Social Network,2010,13+,7.7,96.0,Netflix,the social network
36,The Walking Dead,2010,18+,8.2,81.0,Netflix,the walking dead
37,Ex Machina,2015,18+,7.7,92.0,Netflix,ex machina
38,The Perks of Being a Wallflower,2012,13+,8.0,86.0,Netflix,the perks of being a wallflower
39,District 9,2009,18+,7.9,90.0,Netflix,
40,Narcos,2015,18+,8.8,89.0,Netflix,narcos
41,Silver Linings Playbook,2012,18+,7.7,92.0,Netflix,silver linings playbook
42,Mindhunter,2017,18+,8.6,96.0,Netflix,mindhunter
43,Community,2009,7+,8.5,88.0,Netflix,community
44,The Irishman,2019,18+,7.9,96.0,Netflix,the irishmanoriginal
45,The Help,2011,13+,8.1,76.0,Netflix,
46,Marvel's Daredevil,2015,18+,8.6,92.0,Netflix,marvel's daredevil
47,Dexter,2006,18+,8.6,72.0,Netflix,dexter
48,Ozark,2017,18+,8.4,81.0,Netflix,ozark
49,Drive,2011,18+,7.8,92.0,Netflix,drive
50,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,10.0,Netflix,fullmetal alchemist
51,Parks and Recreation,2009,16+,8.6,93.0,Netflix,parks and recreation
52,Mad Men,2007,16+,8.6,94.0,Netflix,mad men
53,Twin Peaks,1990,18+,8.8,89.0,Netflix,twin peaks
54,Minority Report,2002,13+,7.6,90.0,Netflix,minority report
55,Marriage Story,2019,18+,8.0,95.0,Netflix,marriage storyoriginal
56,Dangal,2016,7+,8.4,88.0,Netflix,dangal
57,Incredibles 2,2018,7+,7.6,94.0,Netflix,incredibles 2 (spanish version)
58,Train to Busan,2016,,7.5,94.0,Netflix,train to busan
59,E.T. the Extra-Terrestrial,1982,7+,7.8,98.0,Netflix,
60,One-Punch Man,2015,16+,8.8,10.0,Netflix,one-punch man
61,The 100,2014,16+,7.7,93.0,Netflix,the 100
62,The Witcher,2019,18+,8.3,67.0,Netflix,the witcher
63,Ferris Bueller's Day Off,1986,13+,7.8,80.0,Netflix,ferris bueller's day off
64,Klaus,2019,7+,8.2,94.0,Netflix,klaus
65,Despicable Me,2010,7+,7.6,81.0,Netflix,
66,Hell or High Water,2016,18+,7.6,97.0,Netflix,hell or high water
67,Like Stars on Earth,2007,7+,8.4,91.0,Netflix,
68,House of Cards,2013,18+,8.7,77.0,Netflix,house of cards
69,Lady Bird,2017,18+,7.4,99.0,Netflix,
70,The Good Place,2016,16+,8.2,97.0,Netflix,the good place
71,Outlander,2014,18+,8.4,91.0,Netflix,outlander
72,Sin City,2005,18+,8.0,77.0,Netflix,sin city
73,When They See Us,2019,18+,8.9,96.0,Netflix,when they see us
74,The Haunting,2018,18+,8.7,93.0,Netflix,the haunting of hill house
75,Willy Wonka & the Chocolate Factory,1971,all,7.8,91.0,Netflix,
76,Shameless,2011,18+,8.6,85.0,Netflix,shameless
77,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,95.0,Netflix,marvel's agents of s.h.i.e.l.d.
78,The Last Kingdom,2015,18+,8.4,91.0,Netflix,the last kingdom
79,Back to the Future Part II,1989,7+,7.8,65.0,Netflix,back to the future part iii
80,Ip Man,2008,18+,8.0,85.0,Netflix,ip man
81,Moonlight,2016,18+,7.4,98.0,Netflix,moonlight
82,Zodiac,2007,18+,7.7,89.0,Netflix,zodiac
83,Lucifer,2016,16+,8.2,87.0,Netflix,lucifer
84,Snowpiercer,2013,18+,7.1,94.0,Netflix,snowpiercer
85,13th,2016,18+,8.2,97.0,Netflix,13th
86,Indiana Jones and the Temple of Doom,1984,7+,7.6,85.0,Netflix,indiana jones and the temple of doom
87,The Theory of Everything,2014,13+,7.7,79.0,Netflix,the theory of everything
88,The Artist,2011,13+,7.9,95.0,Netflix,marina abramovic: the artist is present
89,Scott Pilgrim vs. the World,2010,13+,7.5,82.0,Netflix,scott pilgrim vs. the world
90,The Flash,2014,7+,7.7,89.0,Netflix,the flash
91,The Pursuit of Happyness,2006,13+,8.0,67.0,Netflix,the pursuit of happyness
92,Inside Man,2006,18+,7.6,86.0,Netflix,inside man: most wanted
93,Grey's Anatomy,2005,16+,7.6,83.0,Netflix,grey's anatomy
94,The Blacklist,2013,16+,8.0,91.0,Netflix,the blacklist
95,Senna,2010,13+,8.5,93.0,Netflix,senna
96,The Hateful Eight,2015,18+,7.8,75.0,Netflix,the hateful eight
97,The Curious Case of Benjamin Button,2008,13+,7.8,71.0,Netflix,the curious case of benjamin button
98,Orange Is the New Black,2013,18+,8.1,90.0,Netflix,orange is the new black
99,The Crown,2016,18+,8.7,89.0,Netflix,the crown
100,Arrested Development,2003,16+,8.7,75.0,Netflix,arrested development
101,The End of the F***ing World,2017,18+,8.1,93.0,Netflix,the end of the f***ing world
102,A Silent Voice,2016,,8.2,94.0,Netflix,a silent voice
103,Ant-Man and the Wasp,2018,13+,7.1,88.0,Netflix,ant-man and the wasp
104,The Vampire Diaries,2009,16+,7.7,86.0,Netflix,the vampire diaries
105,Dead to Me,2019,18+,8.1,90.0,Netflix,dead to me
106,How to Get Away with Murder,2014,16+,8.1,88.0,Netflix,how to get away with murder
107,Song of the Sea,2014,7+,8.1,99.0,Netflix,
108,Back to the Future Part III,1990,7+,7.4,80.0,Netflix,back to the future part iii
109,After Life,2019,18+,8.5,70.0,Netflix,after life
110,Blackfish,2013,13+,8.1,98.0,Netflix,blackfish
111,Hugo,2011,7+,7.5,93.0,Netflix,hugo
112,Searching for Sugar Man,2012,13+,8.2,95.0,Netflix,searching for sugar man
113,As Good as It Gets,1997,13+,7.7,85.0,Netflix,as good as it gets
114,American Crime Story,2016,18+,8.4,93.0,Netflix,american crime
115,End of Watch,2012,18+,7.6,85.0,Netflix,end of watch
116,Penny Dreadful,2014,18+,8.2,91.0,Netflix,penny dreadful
117,Sacred Games,2018,18+,8.7,92.0,Netflix,sacred games
118,The Disaster Artist,2017,18+,7.4,91.0,Netflix,
119,The Evil Dead,1981,18+,7.5,95.0,Netflix,the evil dead
120,BoJack Horseman,2014,18+,8.7,93.0,Netflix,bojack horseman
121,Sense8,2015,18+,8.3,86.0,Netflix,sense8
122,Malcolm X,1992,13+,7.7,88.0,Netflix,malcolm x
123,Arrow,2012,16+,7.6,85.0,Netflix,arrow
124,Sex Education,2019,16+,8.3,94.0,Netflix,sex education
125,About Time,2013,18+,7.8,68.0,Netflix,about time
126,Never Have I Ever,2020,16+,8.0,96.0,Netflix,
127,The Invisible Guest,2016,18+,8.1,67.0,Netflix,the invisible guest
128,El Camino: A Breaking Bad Movie,2019,18+,7.3,91.0,Netflix,breaking bad
129,Kung Fu Hustle,2004,18+,7.7,90.0,Netflix,kung fu hustle
