title,Genres,original,type,streaming,runtime,action,sports,thrillers_horror,comedy,romantic,drama,others,misc,travel_life,spiritual,documentary_edu,music,military_political,kids,anime,mystery,popular,game,fantasy,regional,country,title2
100 Humans,"['science', '&', 'nature', 'docs', 'social', '&', 'cultural', 'docs', 'docuseries', 'science', '&', 'nature', 'tv']",True,TV,Netflix,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,100 humans
100% Hotter,"['reality', 'tv', 'shows', 'makeover', 'reality', 'tv', 'british', 'tv', 'shows', 'lifestyle']",False,TV,Netflix,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,british,100% hotter
12 Years Promise,"['tv', 'comedies', 'tv', 'dramas', 'romantic', 'tv', 'comedies', 'romantic', 'tv', 'dramas', 'korean', 'tv', 'shows']",False,TV,Netflix,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,korean,12 years promise
13 Reasons Why,"['tv', 'mysteries', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'teen', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,13 reasons why
13 Reasons Why: Beyond the Reasons,['docuseries'],True,TV,Netflix,,,,,,,,,,,,1.0,,,,,,,,,,,13 reasons why: beyond the reasons
1983,"['tv', 'mysteries', 'tv', 'dramas', 'political', 'tv', 'shows', 'crime', 'tv', 'dramas', 'tv', 'thrillers', 'polish', 'tv', 'shows', 'social', 'issue', 'tv', 'dramas']",True,TV,Netflix,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,polish,1983
1994,"['biographical', 'documentaries', 'political', 'documentaries', 'crime', 'documentaries', 'docuseries', 'political', 'tv', 'shows', 'mexican', 'tv', 'shows', 'latin', 'american', 'tv', 'shows', 'true', 'crime', 'documentaries']",True,TV,Netflix,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,"mexican', 'latin', 'american",1994
20 Minutes,"['tv', 'dramas', 'crime', 'tv', 'dramas']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,,20 minutes
21 Sarfarosh: Saragarhi 1897,"['tv', 'dramas', 'indian', 'tv', 'shows', 'hindi-language', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,"hindi-language', 'indian",21 sarfarosh: saragarhi 1897
21 Thunder,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'canadian', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,canadian,21 thunder
